"","difference","method","beta","sigma","xi","n","alpha","time","hatsigma","hatxi"
"630","0.050573449858359","Residuals","0.98","5","0","10000","0.05","0.428342819213867","5.1168585040468","-0.0103633040953127"
"631","-0.0134218142471654","AD","0.98","5","0","10000","0.05","14.3755431175232","5.01441507187622","0.000646779196068678"
"632","-0.0138810875517072","CVM","0.98","5","0","10000","0.05","14.3501510620117","4.95515337471927","0.0070719613685492"
"633","-1.45152960091631","Langousis","0.98","5","0","10000","0.005","2.8773992061615","0.546895267897407","0.36973608125649"
"634","0.00992740279323812","Residuals","0.98","5","0","10000","0.005","0.43940806388855","5.03895863557364","-0.0263306499486067"
"635","-0.00769868591408063","AD","0.98","5","0","10000","0.005","13.8464889526367","4.84064466244391","-0.00685671659158054"
"636","-0.0331749340540717","CVM","0.98","5","0","10000","0.005","13.2781901359558","4.38380113886447","0.044325401635137"
"637","-1.47531319097994","Langousis","0.98","5","0","10000","0.001","2.78963899612427","0.573457475011962","0.365584396071631"
"638","0.0853416836630525","Residuals","0.98","5","0","10000","0.001","0.353224039077759","4.81521643495808","0.00823160074747416"
"639","-0.0172560378532767","AD","0.98","5","0","10000","0.001","13.531553030014","4.59579629652723","0.034113575045729"
"640","-0.0318344642100676","CVM","0.98","5","0","10000","0.001","13.2128829956055","4.14574308177052","0.0934494556699309"
"641","-1.05473885172602","Langousis","0.98","5","0.15","2000","0.1","0.470061063766479","0.437848491038481","0.550908059587826"
"642","-1.34505320066482","Residuals","0.98","5","0.15","2000","0.1","0.0784339904785156","0.48657506401179","0.397783627094147"
"643","-0.0474168080129282","AD","0.98","5","0.15","2000","0.1","1.55042791366577","3.54937507237173","0.076226431469599"
"644","-0.0527878686651726","CVM","0.98","5","0.15","2000","0.1","1.52988290786743","3.30210177120109","0.123447255118417"
"645","-1.10987500141341","Langousis","0.98","5","0.15","2000","0.05","0.441823959350586","0.433195361405017","0.576353297978254"
"646","0.375240085670019","Residuals","0.98","5","0.15","2000","0.05","0.0812950134277344","7.04938515989331","-0.0979239495197581"
"647","-0.0552504268994436","AD","0.98","5","0.15","2000","0.05","1.76065111160278","4.07594818603483","0.272991362767977"
"648","-0.379880597035744","CVM","0.98","5","0.15","2000","0.05","1.20329308509827","0.257067994846444","1.64602797225548"
"649","-1.09813535519318","Langousis","0.98","5","0.15","2000","0.005","0.43358588218689","0.447903444233032","0.602000127037919"
"650","-1.18221664533238","Residuals","0.98","5","0.15","2000","0.005","0.039438009262085","0.463915564949276","0.552043876759653"
"651","-0.0632505542045445","AD","0.98","5","0.15","2000","0.005","1.64040994644165","4.23366308113576","0.378399464366948"
"652","-0.385807667945867","CVM","0.98","5","0.15","2000","0.005","1.09271192550659","0.266984893536702","1.66063098629445"
"653","-0.8991748830958","Langousis","0.98","5","0.15","2000","0.001","0.683562040328979","0.447472841428797","0.587405972022505"
"654","-1.95374891063182","Residuals","0.98","5","0.15","2000","0.001","0.0325801372528076","0.731467990094998","0.173810643150348"
"655","-0.0452242473227753","AD","0.98","5","0.15","2000","0.001","1.49392604827881","2.22506929730851","0.387398019487282"
"656","-0.694662691536621","CVM","0.98","5","0.15","2000","0.001","0.118196964263916","0.383402564304841","0.778346572599933"
"657","-1.52709625900507","Langousis","0.98","5","0.15","10000","0.1","2.88747787475586","0.579507568068406","0.411336192103157"
"658","0.0415300252462174","Residuals","0.98","5","0.15","10000","0.1","0.366513967514038","5.66654873442613","0.186080846926383"
"659","-0.00749320831484601","AD","0.98","5","0.15","10000","0.1","13.9961040019989","5.44423589038789","0.206417950481438"
"660","-0.0113998492473688","CVM","0.98","5","0.15","10000","0.1","13.9058468341827","5.25681021886154","0.225762557382568"
"661","-1.30190311649794","Langousis","0.98","5","0.15","10000","0.05","3.11132597923279","0.530126387266186","0.475383223566443"
"662","0.0470985825564645","Residuals","0.98","5","0.15","10000","0.05","0.407232046127319","4.49659482856844","0.235679538921251"
"663","-0.0118939286250592","AD","0.98","5","0.15","10000","0.05","13.0786559581757","4.29137990027015","0.256869443757827"
"664","-0.0176741578433757","CVM","0.98","5","0.15","10000","0.05","13.1107881069183","4.16429618428799","0.271615533658134"
"665","-1.43796805921854","Langousis","0.98","5","0.15","10000","0.005","2.87192010879517","0.526651872508821","0.466955707576554"
"666","0.0613404359227219","Residuals","0.98","5","0.15","10000","0.005","0.393829107284546","4.79176400736808","0.285949012583913"
"667","-0.01598576817522","AD","0.98","5","0.15","10000","0.005","13.3984518051147","4.63880117031305","0.300050934941246"
"668","-0.0407512964643648","CVM","0.98","5","0.15","10000","0.005","13.1915647983551","4.1261016512012","0.360316463745523"
"669","-1.34364128052524","Langousis","0.98","5","0.15","10000","0.001","2.77990388870239","0.533337250873665","0.425533370557224"
"670","0.0188848487877173","Residuals","0.98","5","0.15","10000","0.001","0.403419971466064","4.58296975876939","0.0828217246081733"
"671","-0.0257433313213951","AD","0.98","5","0.15","10000","0.001","13.2694301605225","4.35062285975978","0.108526809962794"
"672","-0.0523102681366683","CVM","0.98","5","0.15","10000","0.001","12.8431668281555","3.86970874787129","0.170755251333433"
"673","-1.75774425769338","Langousis","0.98","10","-0.15","2000","0.1","0.458639144897461","0.603653512117612","0.393507717040774"
"674","0.395971013793797","Residuals","0.98","10","-0.15","2000","0.1","0.0482320785522461","9.41961724569891","-0.12151938676586"
"675","-0.0275051060322702","AD","0.98","10","-0.15","2000","0.1","1.70026397705078","9.39698560154872","-0.117859578399782"
"676","-0.0275051060322702","CVM","0.98","10","-0.15","2000","0.1","1.70037198066711","9.39698560154872","-0.117859578399782"
"677","-1.83494222375926","Langousis","0.98","10","-0.15","2000","0.05","0.442291021347046","0.676773395050175","0.41028833210038"
